Downloaded from wid.world on 09-11-2022 at 16:37:51,,,,,,,,Total population , average income or wealth , adults , individual 
Percentile,Year,anninc_992_i_IN,,,,,,"India""",year,Rs Per Month,Rs Per Month
National income,,,,,,,,pall,1922, ? 888.05 ,
Total population , average income or wealth , adults , individual , Euro € , ppp , constant (2021),,pall,1923, ? 919.33 ,
"India""",agdpro_992_i_IN,,,,,,,pall,1924, ? 846.93 ,
Gross domestic product,,,,,,,,pall,1925, ? 941.15 ,
,,,,,,,,pall,1926, ? 922.56 ,
,,,,,,,,pall,1927, ? 909.46 ,
,,,,,,,,pall,1928, ? 976.36 ,
,,,,,,,,pall,1929, ? 968.29 ,
,,,,,,,,pall,1930, ? 929.70 ,
,,,,,,,,pall,1931, ? 908.52 ,
,,,,,,,,pall,1932, ? 899.31 ,
,,,,,,,,pall,1933, ? 856.51 ,
,,,,,,,,pall,1934, ? 932.99 ,
,,,,,,,,pall,1935, ? 969.04 ,
,,,,,,,,pall,1936, ? 951.08 ,
,,,,,,,,pall,1937, ? 984.08 ,
,,,,,,,,pall,1938, ? 846.37 ,
,,,,,,,,pall,1939, ? 838.87 ,
,,,,,,,,pall,1940, ? 932.92 ,
,,,,,,,,pall,1941, ? 874.74 ,
,,,,,,,,pall,1942, ? 933.39 ,
,,,,,,,,pall,1943, ? 966.11 ,
,,,,,,,,pall,1944, ? 967.50 ,
,,,,,,,,pall,1945, ? 955.14 ,
,,,,,,,,pall,1946, ? 989.53 ,
,,,,,,,,pall,1947," ? 1,111.96 ",
,,,,,,,,pall,1948," ? 1,073.18 ",
,,,,,,,,pall,1949," ? 1,101.86 ",
,,,,,,,,pall,1950," ? 1,105.59 "," ? 1,177.59 "
,,,,,,,,pall,1951," ? 1,125.49 "," ? 1,191.01 "
,,,,,,,,pall,1952," ? 1,182.72 "," ? 1,251.95 "
,,,,,,,,pall,1953," ? 1,197.46 "," ? 1,268.74 "
,,,,,,,,pall,1954," ? 1,238.33 "," ? 1,301.77 "
,,,,,,,,pall,1955," ? 1,326.63 "," ? 1,393.31 "
,,,,,,,,pall,1956," ? 1,333.34 "," ? 1,401.38 "
,,,,,,,,pall,1957," ? 1,366.07 "," ? 1,429.72 "
,,,,,,,,pall,1958," ? 1,320.47 "," ? 1,387.52 "
,,,,,,,,pall,1959," ? 1,390.14 "," ? 1,460.51 "
,,,,,,,,pall,1960," ? 1,438.79 "," ? 1,514.61 "
,,,,,,,,pall,1961," ? 1,492.49 "," ? 1,569.49 "
,,,,,,,,pall,1962," ? 1,552.11 "," ? 1,637.73 "
,,,,,,,,pall,1963," ? 1,524.92 "," ? 1,609.92 "
,,,,,,,,pall,1964," ? 1,611.87 "," ? 1,698.50 "
,,,,,,,,pall,1965," ? 1,680.83 "," ? 1,770.43 "
,,,,,,,,pall,1966," ? 1,594.57 "," ? 1,685.51 "
,,,,,,,,pall,1967," ? 1,592.46 "," ? 1,688.78 "
,,,,,,,,pall,1968," ? 1,666.90 "," ? 1,764.93 "
,,,,,,,,pall,1969," ? 1,690.45 "," ? 1,790.04 "
,,,,,,,,pall,1970," ? 1,776.16 "," ? 1,884.76 "
,,,,,,,,pall,1971," ? 1,800.11 "," ? 1,924.86 "
,,,,,,,,pall,1972," ? 1,799.47 "," ? 1,926.72 "
,,,,,,,,pall,1973," ? 1,719.32 "," ? 1,841.46 "
,,,,,,,,pall,1974," ? 1,751.59 "," ? 1,873.17 "
,,,,,,,,pall,1975," ? 1,730.74 "," ? 1,859.53 "
,,,,,,,,pall,1976," ? 1,850.15 "," ? 1,999.85 "
,,,,,,,,pall,1977," ? 1,839.31 "," ? 1,988.54 "
,,,,,,,,pall,1978," ? 1,911.94 "," ? 2,058.34 "
,,,,,,,,pall,1979," ? 1,965.81 "," ? 2,117.85 "
,,,,,,,,pall,1980," ? 1,822.45 "," ? 1,974.79 "
,,,,,,,,pall,1981," ? 1,902.29 "," ? 2,053.25 "
,,,,,,,,pall,1982," ? 1,962.34 "," ? 2,129.99 "
,,,,,,,,pall,1983," ? 1,956.97 "," ? 2,138.99 "
,,,,,,,,pall,1984," ? 2,049.43 "," ? 2,233.78 "
,,,,,,,,pall,1985," ? 2,060.93 "," ? 2,258.09 "
,,,,,,,,pall,1986," ? 2,117.94 "," ? 2,331.38 "
,,,,,,,,pall,1987," ? 2,160.36 "," ? 2,380.55 "
,,,,,,,,pall,1988," ? 2,179.24 "," ? 2,411.87 "
,,,,,,,,pall,1989," ? 2,329.24 "," ? 2,582.43 "
